"sol:0","sol:1","sol:2","anal2","error2","Points:0","Points:1","Points:2"
0.62779,-0.92339,0,0.62779,1.8458e-08,3.5294,3,1.8458e-08
0.7363,-0.82278,0,0.7363,2.2383e-08,3.2941,3,2.2383e-08
0.83008,-0.70046,0,0.83007,1.9677e-08,3.0588,3,1.9677e-08
0.90648,-0.56098,0,0.90648,4.7051e-08,2.8235,3,4.7051e-08
0.96412,-0.40894,0,0.96412,7.0314e-09,2.5882,3,7.0314e-09
1.0025,-0.24851,0,1.0025,1.9348e-08,2.3529,3,1.9348e-08
1.0217,-0.083345,0,1.0217,1.866e-08,2.1176,3,1.866e-08
1.0217,0.083345,0,1.0217,1.866e-08,1.8824,3,1.866e-08
1.0025,0.24851,0,1.0025,1.9348e-08,1.6471,3,1.9348e-08
0.96412,0.40894,0,0.96412,7.0314e-09,1.4118,3,7.0314e-09
0.90648,0.56098,0,0.90648,4.7051e-08,1.1765,3,4.7051e-08
0.83008,0.70046,0,0.83007,1.9677e-08,0.94118,3,1.9677e-08
0.7363,0.82278,0,0.7363,2.2383e-08,0.70588,3,2.2383e-08
0.62779,0.92339,0,0.62779,1.8458e-08,0.47059,3,1.8458e-08
0.5086,0.9984,0,0.5086,1.9088e-08,0.23529,3,1.9088e-08
0.384,1.0453,0,0.384,0,0,3,0
0.2599,1.0636,0,0.2599,3.5275e-08,-0.23529,3,3.5275e-08
0.1421,1.0549,0,0.1421,8.8469e-09,-0.47059,3,8.8469e-09
0.035522,1.0227,0,0.035522,4.7626e-09,-0.70588,3,4.7626e-09
-0.056388,0.97183,0,-0.056388,3.1388e-08,-0.94118,3,3.1388e-08
-0.13185,0.90775,0,-0.13186,2.0242e-08,-1.1765,3,2.0242e-08
-0.19068,0.83574,0,-0.19068,5.9203e-09,-1.4118,3,5.9203e-09
-0.23389,0.76039,0,-0.23389,3.7354e-08,-1.6471,3,3.7354e-08
-0.2633,0.68534,0,-0.2633,3.1731e-08,-1.8824,3,3.1731e-08
-0.37988,0.74034,0,-0.37988,2.9822e-09,-2,2.7,2.9822e-09
-0.52031,0.83781,0,-0.52031,2.6666e-08,-2,2.4,2.6666e-08
-0.70377,0.93515,0,-0.70377,3.3609e-08,-2,2.1,3.3609e-08
-0.93907,1.0209,0,-0.93907,9.044e-10,-2,1.8,9.044e-10
